"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-01","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","33","H,,S","46",",,W","25",",,W","  200",",,W","  210",",,W","12.1",",,W","15.0",",,W",,,,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-02","8.50",",,W",,,"0.04",",,W,2400","0.0","T,,W,","0.0",",,W,","36","H,,S","47",",,W","20",",,W","  330",",,W","  320",",,W","40.0",",,W","49.0",",,W",,,,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-03","13.20",",,W",,,"0.00","T,,W,2400","0.2",",,W,","0.0",",,W,","21","H,,S","27",",,W","12",",,W","  320",",,W","  350",",,W","36.9",",,W","45.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-04","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","25","H,,S","42",",,W","16",",,W","  180",",,W","  180",",,W","23.9",",,W","36.0",",,W",,,,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-05","6.49",",,W",,,"0.03",",,W,2400","0.0",",,W,","0.0",",,W,","40","H,,S","47",",,W","38",",,W","  190",",,W","  210",",,W","18.1",",,W","25.1",",,W",,,,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-06","18.57",",,W",,,"0.07",",,W,2400","0.0","T,,W,","0.0",",,W,","32","H,,S","45",",,W","2",",,W","  340",",,W","  330",",,W","29.1",",,W","38.0",",,W","    1",",,W",,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-07","12.53",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","7","H,,S","20",",,W","-1",",,W","  340",",,W","  320",",,W","29.1",",,W","36.0",",,W",,,,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-08","2.91",",,W",,,"0.00",",,W,2400","0.0",",,W,","0.0",",,W,","21","H,,S","47",",,W","9",",,W","  330",",,W","  110",",,W","8.9",",,W","12.1",",,W",,,,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-09","3.13",",,W",,,"0.03",",,W,2400","0.0",",,W,","0.0",",,W,","31","H,,S","47",",,W","20",",,W","  160",",,W","  150",",,W","14.1",",,W","19.9",",,W","    1",",,W",,,,,,,,,,,,
"USW00003812","ASHEVILLE AIRPORT, NC US","35.4319","-82.5375","645.3","2014-01-10","2.68",",,W",,,"0.52",",,W,2400","0.0",",,W,","0.0",",,W,","40","H,,S","50",",,W","34",",,W","  160",",,W","  190",",,W","8.9",",,W","12.1",",,W","    1",",,W",,,,,,,,,,,,
